"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
106845,72281,96874.9,45962.3,32452,92819.7,2350.29,670.825,1.549
72665.9,52646,90457.6,33783.4,26342,84049.3,2032.4,1172.23,1.551
73528.5,49159,98024,46025.5,32879,91740.2,6669.96,2152.95,1.554
97394.8,64233,99370.5,51536.9,38820,87004.8,14737.7,1627.19,1.566
76305.5,53248,93914.5,34655.4,25164,90255,2505.46,1027.51,1.568
123355,87071,92845.9,74240.4,53439,91046.2,5626.53,2563.24,1.58
85820,60845,92436.5,40187.2,29264,89998.1,11462.7,3781.86,1.581
91203,58013,103030,30307.7,20969,94722.9,18442.1,2073.74,1.587
74461.8,55746,87538.6,34915.9,26366,86787.9,21897,3705.91,1.588
77807.3,55337,92147.7,35757.5,27780,84355.9,2599.28,1308.93,1.593
71768.3,50710,92751.1,36141.3,25010,94704.4,2760.97,589.708,1.593
117368,60113,127957,58780.8,34265,112425,33832.8,2697.6,1.6
100325,68591,95856.2,41916.4,30063,91375.9,16974.4,3030.48,1.601
68949.5,50140,90121.1,32161.7,25877,81452.7,1817.44,869.08,1.605
72911.4,47030,101602,52141.4,36182,94443.1,9266.94,2299.06,1.615
81176.4,56736,93767.2,25605.1,19480,86142.4,759.57,360.88,1.616
67304.8,46795,94259.8,34987.7,26150,87684.6,4237.63,1810.2,1.618
107886,66874,105727,57322.2,37127,101184,1796.07,591.362,1.621
69768,49775,91859.7,32009.6,24571,85376.4,9175.52,3208.55,1.621
101474,71042,93609.8,51308.4,38546,87234.7,4656.16,3532.67,1.63
61869.3,47088,86108.3,27459.9,22408,80311.1,865.344,341.263,1.63
92475.3,58070,104365,43635.5,30054,95152,2356.63,570.125,1.639
74629,51538,94898.6,29139.2,22002,86795.2,2069.77,917.294,1.646
59982.2,45044,87270.1,28225.9,22108,83671.5,1491.68,792.782,1.651
70995.4,55053,84514.1,49428.6,39936,81113.6,3576.41,1414.33,1.654
107401,69705,100977,43400,29300,97073.7,5984.42,924.456,1.658
96282.1,69878,90299.5,38603.8,29334,86245.9,3676.3,2314.8,1.666
70996.9,52615,88432.1,27430.3,21515,83554.2,10343.8,1055.08,1.673
90156.5,66308,89106.9,48740.6,36152,88356.6,2171.64,1091.13,1.674
81021.3,55833,95101.7,29803.8,22356,87369,1473.7,762.043,1.677
67719,48138,92194,29094.8,23623,80716.1,6553.54,580.979,1.683
91516.2,60689,98825.2,60435.2,40941,96741.2,2580.59,694.66,1.688
94252.9,66160,93364,44673.7,31484,92991.3,3727.62,870.545,1.69
105325,72308,95461.1,51832.6,36622,92755.7,1693.27,971.909,1.691
80694.5,57983,91206,31159.4,24059,84877.4,3085.32,1433.45,1.697
71269,50907,91749.4,29505.8,22639,85414.3,4388.97,519.641,1.703
71055.4,48887,95254.1,37184.9,28583,85258.8,17693.8,2892.11,1.706
79546.2,55868,93311.7,31039.3,23413,86883.1,25031.2,3441.76,1.713
84463.4,57011,97093.4,46318,34223,88697.5,4285.47,993.468,1.713
93395.6,60051,101926,47079.2,30623,100754,35340.5,3118.32,1.719
105477,63022,109685,61439.8,35358,113879,12560,1849.93,1.723
69280.8,53042,85599.9,26803.1,22150,79303.4,595.947,385.801,1.73
89871.5,63561,92664,54061.8,39972,88636.9,1490.91,824.582,1.741
79610,55945,93258,59968,43812,89702.8,1349.28,456.241,1.743
79198.1,53374,97244.5,27136.2,20350,87390.6,1289.63,665.065,1.745
93905.6,53667,114674,75830,45691,108765,8793.4,1109.24,1.752
85474.9,60697,92289.3,36397.9,27460,86867.2,2101.12,878.602,1.753
92545.2,65331,92835.6,46091.8,33619,89850.1,3613.48,1526.16,1.754
56350.2,43420,85052.2,30469.1,25233,79135.5,1437.76,571.245,1.769
61147.3,48582,82486.3,25827.4,22066,76707.2,988.493,570.745,1.77
65230.8,49291,86729.1,33662.5,28111,78478.3,28079.6,3919.62,1.771
55400.2,41394,87711,23882.8,19410,80638,899.115,525.171,1.774
71782.8,53230,88377.9,32760.8,26270,81728.6,1865.55,1137.26,1.789
73935.1,53033,91365.9,39600.6,30697,84544.6,3252.22,2014.85,1.789
60560.6,46267,85782.5,25584.8,21631,77514.9,10605.4,818.153,1.793
79411.6,61052,85244.1,35666.3,27237,85818,1143.01,502.895,1.798
67893.8,45450,97898.6,26127.7,18910,90550.1,18590.2,1333.32,1.808
65680,48175,89349.3,52696,41279,83662.1,14457.1,1684.98,1.811
97641,63584,100639,71136,46940,99317.6,3570.59,1816.08,1.814
104023,70770,96330.1,44855.5,32806,89607,913.358,355.57,1.823
58229.7,44467,85819.6,19461,15675,81365,16301.5,3374.5,1.829
68963.2,46087,98066,38780.8,28215,90077.6,14629.9,3278.68,1.83
94673.2,65092,95319,49126,35788,89960.9,1145.33,471.625,1.831
70374.5,47602,96888,26867.9,20226,87056.9,1718.24,519.817,1.831
112318,70446,104490,41311.9,27191,99570.4,13469.1,1220.76,1.836
77330.8,55121,91942.2,28768.7,22377,84255.6,1189.78,794.392,1.844
77284.4,58214,87005,36472,29294,81594.5,16055.8,1503.61,1.853
76145.2,57934,86136.8,46247.8,37022,81867.4,4998.31,2898.77,1.859
74290.8,55046,88448.2,34334,27086,83073,2408.03,1024.86,1.861
