"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
95232.6,66452,93919.8,42434.3,32136,86537.7,29437.3,-5.64555,1.166
127088,80644,103279,69401.3,44556,102080,52965.8,2.34742,1.176
93310.5,66496,91963.4,41343.1,30492,88858.1,30961.5,-5.74576,1.185
105770,63355,109411,103760,57686,117879,46351.4,4.37233,1.195
102187,63895,104812,59486.7,39671,98271.3,35490.1,-3.39353,1.201
100917,73430,90067.7,50180.5,36962,88973.3,40459,-15.9102,1.201
81976.6,58786,91389.5,43938.2,31894,90284.5,34774.9,-4.9365,1.203
98284.7,59116,108958,66563.6,34177,127639,49193.2,-8.53453,1.206
108769,63662,111971,62070.1,37127,109565,44757.2,-0.292853,1.219
122654,68362,117584,111655,65059,112474,31875.4,1.61414,1.219
98644.2,67328,96018.7,60425.8,43852,90305.3,36015.5,9.82193,1.227
90072.9,64230,91904.4,66813.2,45702,95809.2,43218.1,6.69835,1.235
121845,73090,109253,64278.2,40742,103395,34181.1,3.58254,1.238
101018,74399,88983.7,62623.1,46539,88185.5,30478.5,0.645994,1.24
79283.2,55748,93203.4,34086,25864,86369.5,31540.7,5.34615,1.246
100152,61164,107311,55029.8,36577,98598.3,29724.2,-0.364414,1.252
103856,61692,110328,62938.2,42257,97610.3,53564,4.42808,1.257
122062,79167,101045,64752.5,40267,105387,61613.6,8.13881,1.262
105556,74514,92837.5,52373.1,36370,94372.4,32023.5,5.3144,1.265
101374,71502,92915.6,56532.8,42967,86227.5,30370.1,-2.52688,1.266
135279,89879,98640,61154.3,44211,90651.9,32515,4.75209,1.269
84885.2,59841,92963.6,50201.6,37293,88220.6,32388.6,6.8804,1.276
98021,69689,92179.6,49140,32036,100526,33128.2,-3.23823,1.28
115220,65226,115767,101714,54602,122083,45859,12.3547,1.287
98271.8,69226,93033.5,45871.8,34026,88351.7,38201.2,1.19821,1.303
135107,73238,120898,71227.3,40214,116078,51096,10.4204,1.335
110982,71232,102107,57626.4,41596,90792.5,54787.2,0.63766,1.335
76451.4,49356,101514,35615.6,25457,91688,31208.7,-4.17202,1.336
120070,72371,108730,81233.1,47639,111751,45133.9,1.27238,1.339
96233.5,64651,97550.8,58992.2,42950,90014.2,36819,3.93909,1.343
72186.3,51647,91598.8,44257.2,29650,97822.6,46715.6,6.46838,1.359
117906,62309,124013,170742,66505,168254,89600.7,10.5386,1.362
87828.6,63314,90911,45249.4,35418,83727.5,42144.2,-2.24105,1.371
111598,66819,109455,69545.6,41935,108686,44747.8,1.29777,1.384
73365.1,55605,86468,36314.5,26765,88918.5,29166.5,3.38226,1.396
67890.8,47557,93557,35228.7,26317,87728.4,31396.6,0.055629,1.397
76830.7,48537,103739,46540.3,32845,92862.3,55390.8,4.83797,1.402
116464,75843,100637,73612.5,49579,97304.7,34515.7,1.97054,1.404
72751.8,48968,97366.8,88694.6,60949,95369.7,32517.9,12.1719,1.421
105522,65837,105040,91482.3,55693,107651,30726.6,-3.08032,1.426
97848.5,63639,100765,43641,29759,96107.3,30140.1,-5.69176,1.43
68374.9,48478,92434.1,33701.5,25486,86661.6,31828.9,-8.9828,1.431
89768.9,63783,92236.1,58448.5,43859,87336.3,32834.7,6.85107,1.433
92302.8,58638,103161,89570.5,56426,104032,51309.1,1.39635,1.435
110278,58428,123693,117590,55416,139065,36063.1,8.7588,1.457
83484.5,59428,92065,45382.7,31680,93882.7,51864.6,-2.35018,1.48
96120.2,63642,98980.8,43231.5,30570,92679.7,32107.3,-5.8211,1.498
88516.4,66187,87645.8,42097.4,32246,85557.7,35296.6,-0.200802,1.503
92780.8,52803,115154,42241.7,25995,106496,34932.4,-2.29685,1.503
87230.5,60676,94217.5,56748.9,38908,95586.9,40542.6,11.6443,1.508
80132.1,52952,99175.5,77957.1,48533,105268,55231.7,5.90843,1.519
160741,106426,98982.5,120980,84451,93883.6,38864.1,5.39462,1.529
132959,87799,99244.8,70690.6,46691,99222.1,46977,2.74119,1.534
109188,76778,93200.8,50281.9,35059,93992.3,29529.3,-0.881593,1.552
81148.2,53466,99467.5,69275.7,41422,109605,40655.1,1.03686,1.561
59204.8,39332,98648.5,37714.6,28652,86264.9,37520.4,-4.05702,1.578
99355.6,69362,93875.1,57896.3,39362,96394.8,30129.7,3.84892,1.589
95674.9,67389,93044.1,53110.2,39248,88683,43439.8,-0.20623,1.595
85815.4,53923,104297,52460.5,29447,116754,37933.5,8.63581,1.598
77067,42219,119630,76246.6,32955,151628,33521,11.5759,1.6
96492.6,56976,110990,114916,68060,110654,53113.2,4.45773,1.603
94515.9,62361,99328,49711,34164,95359.4,31457.3,3.23163,1.607
69661.6,42175,108248,34990,22107,103728,43132.5,-1.77603,1.619
78859.9,55016,93939.2,30483.2,22625,88298.2,31040.8,4.84902,1.621
80766,60574,87382,34394.9,27815,81039.1,29774.3,-4.0777,1.636
66605.6,46699,93472.4,24267.4,18230,87240,42602,-0.151149,1.638
96185.6,68561,91941.8,59640.4,43053,90785.6,34036.1,-1.17793,1.64
86854.3,55090,103323,37812.1,26746,92651.3,29401.2,4.42683,1.65
99554.7,61726,105700,61898.5,40311,100632,35075.8,0.343712,1.656
84354.7,49746,111130,61744,36690,110288,36401.9,-1.86348,1.664
93274.8,62983,97055.7,79335.4,55751,93259.7,44235.9,8.75142,1.694
80303.1,56619,92950.2,40914.1,27702,96792.6,37221,-6.15733,1.695
121379,71487,111275,138304,74011,122467,64551.9,5.82562,1.719
113932,69210,107884,102760,54574,123400,45308.4,10.8009,1.724
67856.6,44285,100419,69808.4,46877,97595.1,38679.7,-13.1432,1.728
81750.2,55111,97214.3,56337.1,42639,86589.9,53708.9,12.3686,1.738
81117.1,53585,99208.5,35088.3,24065,95555.6,32747.6,-3.7432,1.741
120639,75647,104514,55703.7,34498,105821,36716.4,-10.3642,1.744
107502,72830,96735.6,55659.2,37767,96583.9,32120.3,2.65804,1.754
113476,56595,131404,62659.7,34319,119656,35724,1.3611,1.757
89613.9,51542,113945,73720.1,48938,98723.3,50426.2,-0.665601,1.784
75407.2,48750,101372,91940.9,67166,89709.7,42976.4,3.53424,1.788
105340,67259,102641,84179.2,44134,125000,53149.3,-2.96464,1.806
87449.4,56594,101267,41589.6,28070,97100.7,51448.3,-11.3328,1.815
92247.3,66123,91428.4,53686.6,38875,90505.6,32520.4,4.22173,1.815
75380.6,47477,104053,38894.7,25769,98917.4,28803,3.93616,1.83
108295,74038,95859.6,86465.3,61190,92606.5,70589.7,13.9086,1.831
87285.2,61035,93722.1,77432.2,55979,90651.7,36163.9,1.33217,1.834
83673.7,57250,95784.1,36483.7,25558,93551.8,32308.5,-5.83433,1.836
90413.4,63680,93048.6,44641.7,32348,90442.7,38487.6,-0.940615,1.838
103309,73883,91637.6,58747.3,42511,90566.2,32530.1,-6.3789,1.839
113171,76113,97444.1,70937.1,49581,93764.4,32352.8,2.11276,1.851
81307.1,56947,93570.2,75208.4,56279,87579,41678.6,-1.68043,1.854
89993.1,53401,110443,82940.5,52420,103693,37261.4,-0.859993,1.858
81820.8,53770,99724.9,37825.3,26794,92517.7,32503.5,-5.31715,1.864
103239,69726,97035.3,46682.2,32862,93097.4,60395.4,-0.261089,1.868
72852.1,53559,89143.4,39130.3,29827,85977.2,38947.8,-3.62088,1.875
79163.9,56305,92142.5,46428.7,34525,88131.9,31948,0.54937,1.878
95516,61665,101512,46841.3,32573,94243.5,35746.8,-9.24041,1.897
109872,67750,106282,145081,102826,92467,32936.9,4.72435,1.898
81297.2,60847,87562.1,41843.9,31474,87128.4,30599.2,8.05806,1.908
78671.4,54014,95453.2,40012.4,29758,88119.3,34357.5,-1.19906,1.911
87336.2,54603,104823,53632,38607,91041.2,46011.9,10.2246,1.916
96523.8,60283,104935,104655,70047,97915.2,64913.7,7.92182,1.92
81297.2,53943,98768.9,46137.8,31171,97003.1,78705,5.95503,1.925
103149,72586,93130.3,56181.8,40759,90334.2,40267.4,3.71236,1.926
107057,75681,92705.8,53694.4,39401,89310.4,37659.7,10.2438,1.934
88266.4,63014,91799.1,38425.1,28314,88939.4,29957.6,-5.14976,1.941
72032,54669,86350.4,39404,29872,86448.3,38184.8,5.96929,1.942
67803.4,53247,83451.9,30260.1,24306,81590,33694.6,-4.86547,1.949
95123.9,65976,94489.5,50955.1,36881,90545,55603.8,2.17397,1.951
79059,56099,92358.3,39754.3,28179,92456.6,49726.9,-12.8096,1.952
126102,82290,100428,93613.3,65138,94185.2,59343.9,2.98805,1.956
87505.6,63245,90675.5,45876.5,34429,87326.4,34027.4,3.06264,1.961
80811.6,58945,89847.6,41822.8,32477,84395.1,31115.1,-4.69586,1.962
114173,80115,93395.9,61191.8,43047,93160.1,30887.1,4.32913,1.966
110617,71299,101676,78074.9,55107,92850.5,33118.7,3.65239,1.971
100887,66811,98961.7,66626.8,46383,94139.1,50038.6,-1.70011,1.976
93019.4,61979,98357.9,46765.7,31675,96758.8,34006.3,3.59403,1.994
94640.5,63534,97622.7,38664.6,26830,94443.6,33415,7.34291,1.995
125243,86177,95244.7,101607,67189,99106.9,55298,4.84407,1.999
71436.2,49652,94289.1,56188.1,43175,85288.8,28544.7,7.66314,2.005
106028,66777,104058,70480.8,47236,97786.2,40276.9,-2.11827,2.005
108810,73314,97266.1,104803,73494,93455,50501.9,-1.20058,2.006
81137.6,56431,94229,49398.2,35615,90898.8,29721.7,9.17575,2.009
75591.9,54567,90787.3,44062.2,33179,87032.8,36592,6.07402,2.01
93475.4,68431,89520.9,45021.6,34335,85933.8,50817.2,-8.64131,2.014
149502,98859,99108.4,88086.2,56998,101281,49975.9,10.494,2.038
101851,64278,103845,47604.2,29886,104390,38907.8,7.51175,2.042
146676,95515,100639,89216.4,61903,94452.4,37752.1,-2.48225,2.05
90304,57175,103510,57298.8,39247,95679.5,40061.6,-1.04411,2.067
129455,67955,124847,67941.9,37443,118918,58246.6,-6.4798,2.085
122367,66256,121037,61191,37064,108197,52413.9,-11.9263,2.089
84723.3,53676,103443,44748.6,30453,96300.7,37122.6,-2.44087,2.09
81826.2,57162,93813.4,32713.2,24446,87699.1,28807,-2.4241,2.093
103941,70330,96855.6,53569.6,36906,95126.5,36763.1,-5.59723,2.095
128728,67758,124507,48520.7,30119,105576,48832.8,-5.33083,2.099
