sample_name	sample_id	construct	replicate	concentration	bin	mean_log10_PEs	std_log10_PEs	mean_log10_FITCs	std_log10_FITCs
CH65_a_0_2	38	CH65	a	0	2	2.5941876437011375	0.015232416023488491	3.869380701554458	0.2847516745793526
CH65_a_0_3	39	CH65	a	0	3	2.6451116415708418	0.016457902709982226	3.9035183506650672	0.29332922735517747
CH65_a_0_4	40	CH65	a	0	4	3.221158599046049	0.2936950424380872	3.7477803577879225	0.35883846144869713
CH65_a_F_1	41	CH65	a	F	1	2.104812927526652	0.11890715235511505	2.467509652142389	0.19258523588427873
CH65_a_F_2	42	CH65	a	F	2	2.1270879834406187	0.1318504205701106	3.2625203666162155	0.26470487228664913
CH65_a_F_3	43	CH65	a	F	3	2.1163603794005055	0.12790490853359462	3.7916217010946984	0.10123902421198909
CH65_a_F_4	44	CH65	a	F	4	2.12540145553207	0.13046165282728944	4.166738574503944	0.13902506110527996
CH65_b_1_1	1	CH65	b	1	1	2.2720663007650894	0.1598667546714049	3.4913030912457526	0.2578320635731761
CH65_b_1_2	2	CH65	b	1	2	4.033072576792447	0.1721908244308277	3.5031433768185662	0.19428169455296926
CH65_b_1_3	3	CH65	b	1	3	4.3583009223594615	0.07152033249148763	3.8208916860863686	0.1442094735844067
CH65_b_1_4	4	CH65	b	1	4	4.6635943918292	0.14157602129187713	4.136893463295808	0.16319980030260114
CH65_b_2_1	5	CH65	b	2	1	2.2477330484735765	0.1785271290439737	3.5191092416698515	0.29312231345248646
CH65_b_2_2	6	CH65	b	2	2	3.999169023989799	0.1745044301726336	3.492495132903661	0.19398530982996204
CH65_b_2_3	7	CH65	b	2	3	4.321051475366039	0.07136311995670065	3.802027695484901	0.14724317090941233
CH65_b_2_4	8	CH65	b	2	4	4.63003023138375	0.139723481807442	4.1246644219086965	0.16502890053616928
CH65_b_3_1	9	CH65	b	3	1	2.15561043613652	0.2535947569644931	3.5020940733602135	0.2725149349751836
CH65_b_3_2	10	CH65	b	3	2	3.939011641912742	0.1845563586702165	3.4798570193866256	0.1979811219562502
CH65_b_3_3	11	CH65	b	3	3	4.280042824696006	0.07711608551234139	3.7744032770982723	0.15718524165265269
CH65_b_3_4	12	CH65	b	3	4	4.6587347297530295	0.2178109886571699	4.081402336319033	0.18097980806776373
CH65_b_4_1	13	CH65	b	4	1	2.1868490994158574	0.1974327257248649	3.516553964177259	0.29219159257920074
CH65_b_4_2	14	CH65	b	4	2	3.870265302403755	0.2147403969227195	3.510244838882758	0.2313346300903497
CH65_b_4_3	15	CH65	b	4	3	4.228424135840825	0.07357314890835652	3.7752793882153215	0.17954150129325228
CH65_b_4_4	16	CH65	b	4	4	4.548125439273329	0.15207901584217143	4.0877183089969416	0.1809860857868432
CH65_b_5_1	17	CH65	b	5	1	2.288448162128045	0.1874767931422931	3.454587971462518	0.2443453009601839
CH65_b_5_2	18	CH65	b	5	2	3.6393290655477633	0.2960008229119683	3.586937763188584	0.28297044393775816
CH65_b_5_3	19	CH65	b	5	3	4.092083150548773	0.08223373924735668	3.76704946068694	0.22376175142655907
